orf1	0-53
orf1051	84381-84461
orf1051-r	70710-70799
orf1052	84465-84587
orf1052-r	70656-70709
orf1053	84588-84623
orf1053-r	70503-70646
orf1054	84624-84689
orf1054-r	70482-70502
orf1055	84690-84737
orf1055-r	70446-70469
orf1056	84738-84800
orf1056-r	70395-70430
orf1057	84801-84926
orf1057-r	70365-70394
orf1058	84927-84947
orf1058-r	70308-70364
orf1059	84954-85022
orf1059-r	70251-70307
orf106	8070-8144
orf106-r	148881-148913
orf1060	85035-85106
orf1060-r	70104-70250
orf1061	85107-85130
orf1061-r	69999-70103
orf1062	85131-85157
orf1062-r	69945-69998
orf1063	85158-85271
orf1063-r	69921-69944
orf1064	85272-85298
orf1064-r	69873-69920
orf1065	85317-85445
orf1065-r	69828-69872
orf1066	85446-85466
orf1066-r	69753-69827
orf1067	85467-85649
orf1067-r	69705-69752
orf1068	85650-86105
orf1068-r	69648-69704
orf1069	86106-86192
orf1069-r	69618-69647
orf107	8145-8210
orf107-r	148719-148880
orf1070	86208-86309
orf1070-r	69546-69617
orf1071	86310-86360
orf1071-r	69498-69545
orf1072	86397-86489
orf1072-r	69468-69488
orf1073	86499-86519
orf1073-r	69360-69467
orf1074	86520-86597
orf1074-r	69297-69353
orf1075	86598-86648
orf1075-r	69243-69281
orf1076	86649-86678
orf1076-r	69204-69242
orf1077	86694-86753
orf1077-r	69153-69194
orf1078	86754-86885
orf1078-r	69129-69152
orf1079	86886-87047
orf1079-r	68991-69116
orf108	8226-8249
orf108-r	148641-148673
orf1080	87048-87272
orf1080-r	68949-68990
orf1081	87279-87314
orf1081-r	68817-68948
orf1082	87315-87434
orf1082-r	68742-68795
orf1083	87435-87500
orf1083-r	68625-68741
orf1084	87510-87566
orf1084-r	68514-68603
orf1085	87567-87602
orf1085-r	68442-68498
orf1086	87603-87680
orf1086-r	68289-68411
orf1087	87681-94565
orf1087-r	68220-68288
orf1088	94572-94625
orf1088-r	68175-68219
orf1089	94626-94709
orf1089-r	68133-68174
orf109	8250-8543
orf109-r	148617-148640
orf1090	94710-94745
orf1090-r	68070-68090
orf1091	94755-94775
orf1091-r	67995-68036
orf1092	94776-94814
orf1092-r	67881-67994
orf1093	94818-94910
orf1093-r	67854-67880
orf1094	94911-94931
orf1094-r	67830-67853
orf1095	94932-95018
orf1095-r	67791-67829
orf1096	95025-95261
orf1096-r	67758-67790
orf1097	95262-95345
orf1097-r	67638-67757
orf1098	95346-95537
orf1098-r	67548-67637
orf1099	95538-95576
orf1099-r	67449-67502
orf11	621-674
orf11-r	155856-155924
orf110	8544-8621
orf110-r	148584-148616
orf1100	95577-95627
orf1100-r	67332-67448
orf1101	95628-95699
orf1101-r	67302-67331
orf1102	95706-95789
orf1102-r	67278-67301
orf1103	95790-95822
orf1103-r	67149-67259
orf1104	95823-95972
orf1104-r	67089-67145
orf1105	95979-96017
orf1105-r	67056-67088
orf1106	96018-96119
orf1106-r	67023-67043
orf1107	96123-96245
orf1107-r	66927-66977
orf1108	96261-96371
orf1108-r	66885-66926
orf1109	96384-96437
orf1109-r	66852-66884
orf111	8622-8819
orf111-r	148551-148583
orf1110	96444-96626
orf1110-r	66729-66827
orf1111	96627-96704
orf1111-r	66642-66722
orf1112	96717-96785
orf1112-r	66600-66623
orf1113	96786-96827
orf1113-r	66462-66548
orf1114	96828-96911
orf1114-r	66435-66461
orf1115	96912-97082
orf1115-r	66207-66422
orf1116	97086-97118
orf1116-r	66084-66206
orf1117	97119-97184
orf1117-r	66015-66074
orf1118	97185-97220
orf1118-r	65964-65999
orf1119	97221-97292
orf1119-r	65919-65963
orf112	8820-8864
orf112-r	148455-148550
orf1120	97293-97322
orf1120-r	65799-65918
orf1121	97332-97379
orf1121-r	65718-65798
orf1122	97380-97502
orf1122-r	65580-65717
orf1123	97503-97577
orf1123-r	65544-65579
orf1124	97578-97724
orf1124-r	65403-65543
orf1125	97728-97841
orf1125-r	65382-65402
orf1126	97842-97889
orf1126-r	65349-65372
orf1127	97890-97985
orf1127-r	65307-65342
orf1128	97986-98174
orf1128-r	65094-65291
orf1129	98175-98294
orf1129-r	65007-65072
orf113	8871-8906
orf113-r	148311-148436
orf1130	98295-98315
orf1130-r	64932-65006
orf1131	98316-98408
orf1131-r	64809-64892
orf1132	98409-98480
orf1132-r	64581-64808
orf1133	98484-98528
orf1133-r	64404-64580
orf1134	98529-98558
orf1134-r	64383-64403
orf1135	98559-98633
orf1135-r	64335-64379
orf1136	98634-98774
orf1136-r	64248-64334
orf1137	98793-98834
orf1137-r	63843-64211
orf1138	98835-99002
orf1138-r	63729-63842
orf1139	99006-99068
orf1139-r	63708-63728
orf114	8907-8927
orf114-r	148281-148310
orf1140	99069-99107
orf1140-r	63609-63707
orf1141	99108-99128
orf1141-r	63585-63608
orf1142	99141-99206
orf1142-r	63546-63584
orf1143	99207-99296
orf1143-r	63384-63545
orf1144	99297-99344
orf1144-r	63351-63383
orf1145	99345-99365
orf1145-r	63297-63344
orf1146	99366-99473
orf1146-r	63234-63296
orf1147	99474-99569
orf1147-r	63186-63233
orf1148	99570-99656
orf1148-r	63030-63179
orf1149	99657-99689
orf1149-r	62898-63029
orf115	8928-9140
orf115-r	148227-148280
orf1150	99690-99716
orf1150-r	62736-62897
orf1151	99720-99767
orf1151-r	62664-62726
orf1152	99768-99872
orf1152-r	62634-62663
orf1153	99891-99974
orf1153-r	62535-62624
orf1154	99975-100046
orf1154-r	62466-62534
orf1155	100047-100115
orf1155-r	62436-62465
orf1156	100131-100217
orf1156-r	62340-62435
orf1157	100218-100277
orf1157-r	62271-62339
orf1158	100278-100514
orf1158-r	62241-62264
orf1159	100515-100574
orf1159-r	62187-62222
orf116	9141-9206
orf116-r	148167-148226
orf1160	100575-100595
orf1160-r	62157-62186
orf1161	100596-100616
orf1161-r	61992-62156
orf1162	100617-100700
orf1162-r	61914-61973
orf1163	100701-100733
orf1163-r	61815-61913
orf1164	100749-100775
orf1164-r	61788-61814
orf1165	100776-100808
orf1165-r	61704-61787
orf1166	100809-100841
orf1166-r	61581-61631
orf1167	100854-100916
orf1167-r	61524-61580
orf1168	100920-100949
orf1168-r	61470-61514
orf1169	100953-101186
orf1169-r	61212-61436
orf117	9207-9254
orf117-r	148128-148166
orf1170	101187-101222
orf1170-r	60972-61199
orf1171	101238-101279
orf1171-r	60846-60971
orf1172	101280-101354
orf1172-r	60813-60845
orf1173	101361-101381
orf1173-r	60699-60812
orf1174	101394-101417
orf1174-r	60606-60680
orf1175	101418-101444
orf1175-r	60558-60605
orf1176	101460-101486
orf1176-r	60492-60527
orf1177	101490-101630
orf1177-r	60465-60491
orf1178	101631-101666
orf1178-r	60420-60455
orf1179	101667-101777
orf1179-r	60363-60419
orf118	9255-9278
orf118-r	148098-148127
orf1180	101784-101963
orf1180-r	60309-60362
orf1181	101964-102017
orf1181-r	60288-60308
orf1182	102018-102092
orf1182-r	60252-60272
orf1183	102108-102212
orf1183-r	60195-60248
orf1184	102213-102326
orf1184-r	60165-60194
orf1185	102327-102368
orf1185-r	60135-60155
orf1186	102369-102404
orf1186-r	60099-60134
orf1187	102405-102548
orf1187-r	60030-60080
orf1188	102567-102629
orf1188-r	60006-60029
orf1189	102630-102809
orf1189-r	59979-60005
orf119	9279-9365
orf119-r	148062-148082
orf1190	102816-102980
orf1190-r	59925-59978
orf1191	102981-103016
orf1191-r	59850-59924
orf1192	103017-103061
orf1192-r	59754-59831
orf1193	103062-103181
orf1193-r	59640-59735
orf1194	103182-103208
orf1194-r	59619-59639
orf1195	103248-103331
orf1195-r	59589-59618
orf1196	103332-103388
orf1196-r	59409-59555
orf1197	103407-103565
orf1197-r	59280-59369
orf1198	103566-103613
orf1198-r	59163-59279
orf1199	103614-103643
orf1199-r	59130-59162
orf12	675-698
orf12-r	155790-155855
orf120	9366-9452
orf120-r	147993-148061
orf1200	103644-103730
orf1200-r	58989-59129
orf1201	103731-103871
orf1201-r	58938-58988
orf1202	103872-103910
orf1202-r	58914-58937
orf1203	103911-103934
orf1203-r	58884-58913
orf1204	103938-104075
orf1204-r	58482-58883
orf1205	104076-104420
orf1205-r	58434-58481
orf1206	104421-104459
orf1206-r	58350-58433
orf1207	104460-104501
orf1207-r	58296-58349
orf1208	104526-104615
orf1208-r	58182-58268
orf1209	104616-104735
orf1209-r	58125-58181
orf121	9453-9560
orf121-r	147963-147983
orf1210	104736-104762
orf1210-r	58092-58124
orf1211	104763-104861
orf1211-r	57978-58088
orf1212	104871-105050
orf1212-r	57903-57977
orf1213	105072-105107
orf1213-r	57855-57896
orf1214	105108-105140
orf1214-r	57756-57833
orf1215	105141-105182
orf1215-r	57639-57755
orf1216	105192-105314
orf1216-r	57597-57638
orf1217	105315-105350
orf1217-r	57465-57596
orf1218	105351-105410
orf1218-r	57183-57464
orf1219	105411-105497
orf1219-r	57132-57182
orf122	9576-9602
orf122-r	147858-147962
orf1220	105498-105554
orf1220-r	57015-57131
orf1221	105555-105662
orf1221-r	56955-57008
orf1222	105663-105812
orf1222-r	56910-56954
orf1223	105813-105875
orf1223-r	56883-56909
orf1224	105897-105932
orf1224-r	56841-56879
orf1225	105933-105953
orf1225-r	56751-56840
orf1226	105972-105992
orf1226-r	56712-56750
orf1227	106005-106046
orf1227-r	56604-56711
orf1228	106047-106100
orf1228-r	56493-56588
orf1229	106113-106202
orf1229-r	56466-56492
orf123	9603-9767
orf123-r	147771-147836
orf1230	106206-106268
orf1230-r	56343-56465
orf1231	106269-106490
orf1231-r	56289-56321
orf1232	106491-106529
orf1232-r	56169-56273
orf1233	106545-106601
orf1233-r	56121-56168
orf1234	106617-106709
orf1234-r	56010-56093
orf1235	106710-106736
orf1235-r	55971-56009
orf1236	106737-106799
orf1236-r	55923-55964
orf1237	106806-106829
orf1237-r	55881-55922
orf1238	106830-106853
orf1238-r	55806-55880
orf1239	106854-106946
orf1239-r	55755-55790
orf124	9792-9827
orf124-r	147735-147770
orf1240	106953-107042
orf1240-r	55731-55754
orf1241	107079-107183
orf1241-r	55707-55730
orf1242	107184-107303
orf1242-r	55671-55706
orf1243	107319-107342
orf1243-r	55644-55670
orf1244	107343-107408
orf1244-r	55614-55643
orf1245	107427-107474
orf1245-r	55578-55613
orf1246	107475-107534
orf1246-r	55545-55577
orf1247	107535-107597
orf1247-r	55491-55520
orf1248	107598-107681
orf1248-r	55413-55490
orf1249	107682-107732
orf1249-r	55224-55382
orf125	9828-9899
orf125-r	147627-147728
orf1250	107733-107783
orf1250-r	55167-55223
orf1251	107784-107834
orf1251-r	55083-55166
orf1252	107835-107981
orf1252-r	55044-55082
orf1253	107982-108041
orf1253-r	55020-55043
orf1254	108042-108098
orf1254-r	54996-55019
orf1255	108099-108194
orf1255-r	54933-54953
orf1256	108198-108227
orf1256-r	54864-54932
orf1257	108228-108269
orf1257-r	54801-54854
orf1258	108270-108305
orf1258-r	54750-54800
orf1259	108306-108377
orf1259-r	54672-54749
orf126	9900-9929
orf126-r	147603-147626
orf1260	108378-108464
orf1260-r	54621-54671
orf1261	108483-108563
orf1261-r	54579-54620
orf1262	108564-108596
orf1262-r	54531-54563
orf1263	108609-108629
orf1263-r	54486-54509
orf1264	108630-108662
orf1264-r	54360-54464
orf1265	108663-108686
orf1265-r	54339-54359
orf1266	108687-108743
orf1266-r	54264-54338
orf1267	108744-108773
orf1267-r	54225-54263
orf1268	108774-108794
orf1268-r	54189-54224
orf1269	108798-108851
orf1269-r	54159-54188
orf127	9930-9983
orf127-r	147378-147602
orf1270	108852-108911
orf1270-r	54132-54158
orf1271	108912-108995
orf1271-r	54012-54122
orf1272	108996-109022
orf1272-r	53970-54011
orf1273	109023-109202
orf1273-r	53847-53963
orf1274	109203-109304
orf1274-r	53799-53828
orf1275	109320-109352
orf1275-r	53763-53798
orf1276	109353-109403
orf1276-r	53712-53756
orf1277	109404-109454
orf1277-r	53664-53711
orf1278	109455-109547
orf1278-r	53580-53660
orf1279	109566-109625
orf1279-r	53541-53579
orf128	9984-10094
orf128-r	147177-147377
orf1280	109626-109946
orf1280-r	53505-53525
orf1281	109947-109970
orf1281-r	53454-53480
orf1282	109989-110135
orf1282-r	53376-53402
orf1283	110142-110177
orf1283-r	53253-53375
orf1284	110193-110267
orf1284-r	53211-53240
orf1285	110283-110438
orf1285-r	53154-53210
orf1286	110439-110486
orf1286-r	52962-53153
orf1287	110487-110573
orf1287-r	52926-52961
orf1288	110574-110609
orf1288-r	52773-52925
orf1289	110610-110630
orf1289-r	52689-52772
orf129	10107-10310
orf129-r	147045-147176
orf1290	110631-111746
orf1290-r	52635-52673
orf1291	111762-111791
orf1291-r	52569-52625
orf1292	111792-111857
orf1292-r	52488-52568
orf1293	111867-111971
orf1293-r	52359-52484
orf1294	111972-112028
orf1294-r	52284-52358
orf1295	112029-112127
orf1295-r	52239-52277
orf1296	112128-112172
orf1296-r	52122-52238
orf1297	112173-112217
orf1297-r	52074-52112
orf1298	112218-112250
orf1298-r	52029-52073
orf1299	112251-112307
orf1299-r	51918-52010
orf13	699-761
orf13-r	155583-155789
orf130	10341-10442
orf130-r	147000-147029
orf1300	112308-112424
orf1300-r	51897-51917
orf1301	112434-112481
orf1301-r	51783-51863
orf1302	112482-112529
orf1302-r	51675-51782
orf1303	112530-112574
orf1303-r	51636-51674
orf1304	112575-112622
orf1304-r	51594-51635
orf1305	112623-112697
orf1305-r	51573-51593
orf1306	112707-112736
orf1306-r	51405-51572
orf1307	112737-112778
orf1307-r	51243-51395
orf1308	112800-112844
orf1308-r	51174-51233
orf1309	112845-112895
orf1309-r	51057-51155
orf131	10455-10538
orf131-r	146934-146981
orf1310	112896-112919
orf1310-r	50973-51002
orf1311	112920-112940
orf1311-r	50940-50960
orf1312	112941-112967
orf1312-r	50847-50939
orf1313	112968-113006
orf1313-r	50793-50846
orf1314	113007-113027
orf1314-r	50745-50792
orf1315	113034-113081
orf1315-r	50691-50744
orf1316	113097-113126
orf1316-r	50658-50690
orf1317	113127-113168
orf1317-r	50577-50657
orf1318	113169-113207
orf1318-r	50553-50573
orf1319	113208-113249
orf1319-r	50463-50546
orf132	10539-10562
orf132-r	146781-146921
orf1320	113250-113387
orf1320-r	49557-50456
orf1321	113388-113465
orf1321-r	49005-49556
orf1322	113493-113561
orf1322-r	48924-48989
orf1323	113610-113654
orf1323-r	48801-48923
orf1324	113655-113684
orf1324-r	48753-48800
orf1325	113685-113708
orf1325-r	48684-48719
orf1326	113709-113732
orf1326-r	48600-48683
orf1327	113733-113801
orf1327-r	48573-48599
orf1328	113802-113831
orf1328-r	48549-48572
orf1329	113832-113885
orf1329-r	48486-48548
orf133	10575-10601
orf133-r	146658-146780
orf1330	113886-113957
orf1330-r	48408-48485
orf1331	113970-113993
orf1331-r	48351-48407
orf1332	113994-114017
orf1332-r	48288-48350
orf1333	114027-114143
orf1333-r	48222-48287
orf1334	114144-114173
orf1334-r	48183-48221
orf1335	114174-114230
orf1335-r	48135-48182
orf1336	114261-114305
orf1336-r	48054-48134
orf1337	114324-114377
orf1337-r	48006-48053
orf1338	114378-114416
orf1338-r	47967-47999
orf1339	114417-114449
orf1339-r	47916-47966
orf134	10602-10655
orf134-r	146631-146657
orf1340	114468-114497
orf1340-r	47895-47915
orf1341	114498-114542
orf1341-r	47856-47894
orf1342	114543-114596
orf1342-r	47829-47855
orf1343	114597-114704
orf1343-r	47802-47828
orf1344	114705-114755
orf1344-r	47697-47801
orf1345	114756-114791
orf1345-r	47493-47684
orf1346	114792-114821
orf1346-r	47427-47492
orf1347	114828-114923
orf1347-r	47403-47426
orf1348	114948-115058
orf1348-r	47331-47396
orf1349	115059-115079
orf1349-r	47259-47330
orf135	10659-10715
orf135-r	146607-146630
orf1350	115107-115277
orf1350-r	47187-47258
orf1351	115278-115328
orf1351-r	46899-47183
orf1352	115329-115391
orf1352-r	46854-46898
orf1353	115401-115439
orf1353-r	46833-46853
orf1354	115452-115496
orf1354-r	46719-46808
orf1355	115515-115565
orf1355-r	46671-46706
orf1356	115569-115589
orf1356-r	46632-46655
orf1357	115590-115613
orf1357-r	46563-46601
orf1358	115614-115640
orf1358-r	46515-46562
orf1359	115641-115667
orf1359-r	46464-46514
orf136	10716-10784
orf136-r	146529-146606
orf1360	115668-115691
orf1360-r	46422-46463
orf1361	115692-115790
orf1361-r	46332-46403
orf1362	115812-115832
orf1362-r	46227-46331
orf1363	115833-115853
orf1363-r	46185-46208
orf1364	115881-115913
orf1364-r	46137-46184
orf1365	115941-115985
orf1365-r	46023-46136
orf1366	116019-116054
orf1366-r	45984-46004
orf1367	116055-116075
orf1367-r	45366-45983
orf1368	116076-116111
orf1368-r	45159-45350
orf1369	116112-116144
orf1369-r	45108-45158
orf137	10785-10850
orf137-r	146406-146528
orf1370	116154-116204
orf1370-r	45060-45095
orf1371	116205-116231
orf1371-r	45024-45059
orf1372	116232-116258
orf1372-r	44985-45023
orf1373	116286-116333
orf1373-r	44928-44984
orf1374	116334-116387
orf1374-r	44871-44927
orf1375	116388-116414
orf1375-r	44805-44864
orf1376	116415-116444
orf1376-r	44691-44804
orf1377	116445-116495
orf1377-r	44640-44690
orf1378	116496-116537
orf1378-r	44598-44639
orf1379	116559-116717
orf1379-r	44556-44585
orf138	10851-10988
orf138-r	146337-146405
orf1380	116739-116771
orf1380-r	44394-44531
orf1381	116778-116807
orf1381-r	44367-44393
orf1382	116835-116888
orf1382-r	44199-44363
orf1383	116895-116960
orf1383-r	44142-44180
orf1384	116973-117005
orf1384-r	43980-44141
orf1385	117006-117044
orf1385-r	43845-43979
orf1386	117051-117107
orf1386-r	43776-43835
orf1387	117108-117215
orf1387-r	43722-43754
orf1388	117225-117245
orf1388-r	43683-43721
orf1389	117246-117461
orf1389-r	43641-43664
orf139	10989-11102
orf139-r	146289-146333
orf1390	117462-117527
orf1390-r	43611-43640
orf1391	117528-117605
orf1391-r	43569-43610
orf1392	117621-117647
orf1392-r	43494-43559
orf1393	117648-117671
orf1393-r	43473-43493
orf1394	117672-117812
orf1394-r	43443-43463
orf1395	117828-117878
orf1395-r	43344-43442
orf1396	117879-117899
orf1396-r	43257-43340
orf1397	117900-117932
orf1397-r	43200-43247
orf1398	117933-118094
orf1398-r	43155-43199
orf1399	118095-118166
orf1399-r	43083-43136
orf14	762-896
orf14-r	155556-155582
orf140	11103-11261
orf140-r	146214-146273
orf1400	118167-118196
orf1400-r	43026-43082
orf1401	118197-118310
orf1401-r	43002-43025
orf1402	118311-118352
orf1402-r	42843-42998
orf1403	118353-118379
orf1403-r	42786-42842
orf1404	118395-118463
orf1404-r	42738-42785
orf1405	118464-118532
orf1405-r	42684-42719
orf1406	118533-118658
orf1406-r	42630-42668
orf1407	118659-118802
orf1407-r	42594-42629
orf1408	118803-118919
orf1408-r	42426-42593
orf1409	118920-118979
orf1409-r	42399-42425
orf141	11262-11282
orf141-r	146115-146213
orf1410	118980-119003
orf1410-r	42375-42398
orf1411	119004-119207
orf1411-r	42183-42356
orf1412	119208-119273
orf1412-r	42132-42164
orf1413	119289-119327
orf1413-r	42015-42131
orf1414	119328-119363
orf1414-r	41940-42014
orf1415	119364-119408
orf1415-r	41760-41915
orf1416	119427-119450
orf1416-r	41694-41759
orf1417	119451-119483
orf1417-r	41652-41684
orf1418	119484-119558
orf1418-r	41592-41633
orf1419	119559-119636
orf1419-r	41511-41591
orf142	11283-11330
orf142-r	146088-146114
orf1420	119637-119657
orf1420-r	41352-41480
orf1421	119658-119714
orf1421-r	41142-41348
orf1422	119715-119750
orf1422-r	41118-41141
orf1423	119769-119792
orf1423-r	41091-41111
orf1424	119796-119828
orf1424-r	40878-41090
orf1425	119835-119897
orf1425-r	40848-40871
orf1426	119940-119966
orf1426-r	40827-40847
orf1427	119973-120011
orf1427-r	40800-40826
orf1428	120012-120068
orf1428-r	40749-40787
orf1429	120087-120116
orf1429-r	40668-40748
orf143	11331-11489
orf143-r	146007-146087
orf1430	120117-120251
orf1430-r	40563-40667
orf1431	120252-120326
orf1431-r	40521-40562
orf1432	120327-120356
orf1432-r	40491-40520
orf1433	120357-120401
orf1433-r	40440-40490
orf1434	120450-120494
orf1434-r	40296-40436
orf1435	120495-120614
orf1435-r	40275-40295
orf1436	120615-120671
orf1436-r	40116-40274
orf1437	120675-120746
orf1437-r	40086-40115
orf1438	120756-120797
orf1438-r	39981-40085
orf1439	120804-120824
orf1439-r	39882-39980
orf144	11490-11543
orf144-r	145980-146006
orf1440	120825-120923
orf1440-r	39765-39881
orf1441	120924-121082
orf1441-r	39717-39764
orf1442	121092-121142
orf1442-r	39696-39716
orf1443	121143-121175
orf1443-r	39663-39695
orf1444	121182-121256
orf1444-r	39537-39662
orf1445	121275-121313
orf1445-r	39492-39518
orf1446	121317-121343
orf1446-r	39366-39491
orf1447	121347-121367
orf1447-r	39324-39359
orf1448	121368-121391
orf1448-r	39276-39323
orf1449	121395-121418
orf1449-r	39225-39275
orf145	11565-11702
orf145-r	145881-145979
orf1450	121419-121469
orf1450-r	39189-39224
orf1451	121470-121574
orf1451-r	39078-39188
orf1452	121575-121595
orf1452-r	38973-39074
orf1453	121617-121637
orf1453-r	38946-38972
orf1454	121656-121682
orf1454-r	38889-38945
orf1455	121683-121703
orf1455-r	38763-38888
orf1456	121746-121805
orf1456-r	38718-38762
orf1457	121806-121835
orf1457-r	38694-38717
orf1458	121854-121901
orf1458-r	38613-38693
orf1459	121902-121940
orf1459-r	38583-38612
orf146	11703-11729
orf146-r	145842-145880
orf1460	121962-122012
orf1460-r	38526-38582
orf1461	122013-122054
orf1461-r	38445-38483
orf1462	122073-122117
orf1462-r	38379-38444
orf1463	122118-122168
orf1463-r	38292-38378
orf1464	122169-122204
orf1464-r	38262-38291
orf1465	122208-122231
orf1465-r	38241-38261
orf1466	122232-122261
orf1466-r	38166-38225
orf1467	122262-122354
orf1467-r	38034-38165
orf1468	122355-122375
orf1468-r	37998-38033
orf1469	122376-122420
orf1469-r	37953-37973
orf147	11748-11996
orf147-r	145800-145835
orf1470	122421-122597
orf1470-r	37932-37952
orf1471	122598-122693
orf1471-r	37890-37922
orf1472	122694-122816
orf1472-r	37776-37889
orf1473	122817-122843
orf1473-r	37680-37775
orf1474	122850-122903
orf1474-r	37608-37649
orf1475	122904-122984
orf1475-r	37536-37607
orf1476	122997-123158
orf1476-r	37506-37535
orf1477	123159-123275
orf1477-r	37458-37493
orf1478	123276-123425
orf1478-r	37383-37457
orf1479	123426-123536
orf1479-r	37353-37382
orf148	11997-12035
orf148-r	145539-145799
orf1480	123537-123575
orf1480-r	37227-37352
orf1481	123576-123668
orf1481-r	37191-37226
orf1482	123669-123731
orf1482-r	37167-37190
orf1483	123732-123809
orf1483-r	37119-37166
orf1484	123810-123842
orf1484-r	37092-37118
orf1485	123843-123893
orf1485-r	36990-37073
orf1486	123909-124007
orf1486-r	36927-36989
orf1487	124023-124130
orf1487-r	36843-36926
orf1488	124131-124151
orf1488-r	36822-36842
orf1489	124152-124178
orf1489-r	36789-36815
orf149	12036-12107
orf149-r	145479-145523
orf1490	124179-124247
orf1490-r	36726-36788
orf1491	124257-124331
orf1491-r	36579-36707
orf1492	124332-124460
orf1492-r	36555-36578
orf1493	124461-124538
orf1493-r	36531-36554
orf1494	124539-124595
orf1494-r	36447-36530
orf1495	124596-124616
orf1495-r	36339-36446
orf1496	124617-124670
orf1496-r	36264-36329
orf1497	124671-124721
orf1497-r	36081-36263
orf1498	124749-124769
orf1498-r	36033-36065
orf1499	124770-124811
orf1499-r	35988-36032
orf15	930-1004
orf15-r	155508-155555
orf150	12111-12245
orf150-r	145407-145445
orf1500	124812-124838
orf1500-r	35889-35951
orf1501	124839-124868
orf1501-r	35817-35849
orf1502	124869-124913
orf1502-r	35694-35816
orf1503	124959-125054
orf1503-r	35646-35693
orf1504	125055-125207
orf1504-r	35601-35645
orf1505	125208-125264
orf1505-r	35481-35600
orf1506	125265-125354
orf1506-r	35364-35480
orf1507	125355-125405
orf1507-r	35244-35357
orf1508	125406-125438
orf1508-r	35211-35243
orf1509	125439-125462
orf1509-r	35178-35210
orf151	12246-12320
orf151-r	145368-145406
orf1510	125463-125483
orf1510-r	35115-35177
orf1511	125490-125522
orf1511-r	34917-35114
orf1512	125523-125609
orf1512-r	34860-34916
orf1513	125619-125639
orf1513-r	34827-34853
orf1514	125640-125744
orf1514-r	34743-34811
orf1515	125745-125918
orf1515-r	34557-34733
orf1516	125919-125969
orf1516-r	34464-34556
orf1517	125970-125993
orf1517-r	34413-34463
orf1518	125994-126014
orf1518-r	34368-34412
orf1519	126018-126044
orf1519-r	34317-34367
orf152	12321-12353
orf152-r	145296-145367
orf1520	126045-126110
orf1520-r	34275-34313
orf1521	126111-126137
orf1521-r	34143-34274
orf1522	126138-126167
orf1522-r	34080-34142
orf1523	126168-126287
orf1523-r	33954-34079
orf1524	126288-126416
orf1524-r	33879-33953
orf1525	126477-126596
orf1525-r	33795-33878
orf1526	126597-126617
orf1526-r	33732-33794
orf1527	126618-126683
orf1527-r	33651-33716
orf1528	126684-126746
